surname,team,position,minutes,shots,passes,tackles,saves
Caceres,Uruguay,defender,90,0,32,4,0
Eguren,Uruguay,midfielder,2,0,1,0,0
Fernandez,Uruguay,midfielder,75,1,17,3,0
Fernandez,Uruguay,forward,7,0,5,0,0
Forlan,Uruguay,forward,564,18,202,0,0
Fucile,Uruguay,defender,371,2,115,14,0
Gargano,Uruguay,midfielder,91,0,44,1,0
Goduen,Uruguay,defender,315,1,120,9,0
Gonzalez,Uruguay,midfielder,63,0,34,2,0
Lodeiro,Uruguay,midfielder,109,0,37,1,0
Lugano,Uruguay,defender,398,2,67,6,0
Maxi Pereira,Uruguay,midfielder,570,5,182,15,0
Muslera,Uruguay,goalkeeper,570,0,75,0,16
Perez,Uruguay,midfielder,567,2,252,34,0
Scotti,Uruguay,defender,95,0,22,5,0
Suarez,Uruguay,forward,452,19,127,4,0
Victorino,Uruguay,defender,435,0,141,7,0
Alvaro Pereira,Uruguay,midfielder,409,6,140,17,0
Beasley,USA,midfielder,10,0,4,0,0
Bocanegra,USA,defender,390,1,130,9,0
Bornstein,USA,defender,200,2,72,5,0
Bradley,USA,midfielder,390,6,210,9,0
Buddle,USA,forward,39,1,12,0,0
Cherundolo,USA,defender,390,1,180,10,0
Clark,USA,midfielder,121,0,42,4,0
Demerit,USA,defender,390,2,129,7,0
Dempsey,USA,midfielder,390,15,137,6,0
Donovan,USA,forward,390,7,165,9,0
Edu,USA,midfielder,198,2,116,4,0
Feilhaber,USA,midfielder,165,3,71,5,0
Findley,USA,forward,167,1,40,0,0
Gomez,USA,forward,85,4,18,0,0
Holden,USA,midfielder,4,0,2,0,0
Howard,USA,goalkeeper,390,0,81,0,14
Jozy Altidore,USA,forward,356,8,84,2,0
Onyewu,USA,defender,170,1,69,2,0
Torres,USA,midfielder,45,1,32,0,0
