surname,team,ranking,games,wins,draws,losses,goalsFor,goalsAgainst,yellowCards,redCards,position,minutes,shots,passes,tackles,saves
Ooijer,Netherlands,4,6,6,0,0,12,5,15,0,defender,90,0,30,2,0
Robben,Netherlands,4,6,6,0,0,12,5,15,0,forward,267,6,81,5,0
Sneijder,Netherlands,4,6,6,0,0,12,5,15,0,midfielder,532,15,279,7,0
Stekelenburg,Netherlands,4,6,6,0,0,12,5,15,0,goalkeeper,540,0,149,0,15
Van der Vaart,Netherlands,4,6,6,0,0,12,5,15,0,midfielder,257,8,122,4,0
Van der Wiel,Netherlands,4,6,6,0,0,12,5,15,0,defender,360,0,189,2,0
de Jong,Netherlands,4,6,6,0,0,12,5,15,0,midfielder,448,1,250,15,0
de Zeeuw,Netherlands,4,6,6,0,0,12,5,15,0,midfielder,47,0,37,2,0
van Bommel,Netherlands,4,6,6,0,0,12,5,15,0,midfielder,540,2,307,31,0
van Bronckhorst,Netherlands,4,6,6,0,0,12,5,15,0,defender,540,1,271,10,0
van Persie,Netherlands,4,6,6,0,0,12,5,15,0,forward,479,14,108,1,0
Barron,New Zealand,78,3,0,3,0,2,2,6,0,midfielder,1,0,0,0,0
Bertos,New Zealand,78,3,0,3,0,2,2,6,0,midfielder,270,0,79,5,0
Brockie,New Zealand,78,3,0,3,0,2,2,6,0,midfielder,11,0,5,0,0
Christie,New Zealand,78,3,0,3,0,2,2,6,0,midfielder,21,0,9,1,0
Elliott,New Zealand,78,3,0,3,0,2,2,6,0,midfielder,270,1,119,7,0
Fallon,New Zealand,78,3,0,3,0,2,2,6,0,forward,222,1,60,1,0
Killen,New Zealand,78,3,0,3,0,2,2,6,0,forward,240,3,60,7,0
Lochhead,New Zealand,78,3,0,3,0,2,2,6,0,defender,270,0,47,5,0
Nelsen,New Zealand,78,3,0,3,0,2,2,6,0,defender,270,0,92,1,0
Paston,New Zealand,78,3,0,3,0,2,2,6,0,goalkeeper,270,0,64,0,9
Reid,New Zealand,78,3,0,3,0,2,2,6,0,defender,270,2,90,10,0
Smeltz,New Zealand,78,3,0,3,0,2,2,6,0,forward,270,5,59,5,0
Smith,New Zealand,78,3,0,3,0,2,2,6,0,defender,270,1,79,2,0
Vicelich,New Zealand,78,3,0,3,0,2,2,6,0,defender,249,1,88,4,0
Wood,New Zealand,78,3,0,3,0,2,2,6,0,forward,66,1,16,0,0
Afolabi,Nigeria,21,3,0,1,2,3,5,5,1,defender,103,0,38,1,0
Ayila Yussuf,Nigeria,21,3,0,1,2,3,5,5,1,midfielder,90,0,44,1,0
Echiejile,Nigeria,21,3,0,1,2,3,5,5,1,defender,67,0,22,1,0
Enyeama,Nigeria,21,3,0,1,2,3,5,5,1,goalkeeper,270,0,30,0,20
Etuhu,Nigeria,21,3,0,1,2,3,5,5,1,midfielder,270,0,111,5,0
Haruna,Nigeria,21,3,0,1,2,3,5,5,1,midfielder,180,1,77,3,0
Kaita,Nigeria,21,3,0,1,2,3,5,5,1,midfielder,123,2,45,2,0
Kanu,Nigeria,21,3,0,1,2,3,5,5,1,forward,57,0,18,0,0
Martins,Nigeria,21,3,0,1,2,3,5,5,1,forward,71,2,16,0,0
Obasi,Nigeria,21,3,0,1,2,3,5,5,1,forward,195,6,62,8,0
Odemwingie,Nigeria,21,3,0,1,2,3,5,5,1,forward,75,0,28,1,0
Odiah,Nigeria,21,3,0,1,2,3,5,5,1,defender,270,0,107,5,0
Shittu,Nigeria,21,3,0,1,2,3,5,5,1,defender,270,0,61,5,0
Taiwo,Nigeria,21,3,0,1,2,3,5,5,1,defender,129,3,36,4,0
Uche,Nigeria,21,3,0,1,2,3,5,5,1,midfielder,196,6,73,2,0
Victor Obinna,Nigeria,21,3,0,1,2,3,5,5,1,forward,72,3,25,4,0
Yakubu,Nigeria,21,3,0,1,2,3,5,5,1,forward,250,6,43,2,0
Yobo,Nigeria,21,3,0,1,2,3,5,5,1,defender,225,0,52,2,0
Ahn Young-Hak,North Korea,105,3,0,0,3,1,12,2,0,midfielder,270,1,123,11,0
Cha Jong-Hyok,North Korea,105,3,0,0,3,1,12,2,0,defender,255,4,74,5,0
Choe Kum-Chol,North Korea,105,3,0,0,3,1,12,2,0,forward,23,1,13,0,0
Hong Yong-Jo,North Korea,105,3,0,0,3,1,12,2,0,forward,270,4,107,3,0
Ji Yun-Nam,North Korea,105,3,0,0,3,1,12,2,0,midfielder,270,3,73,11,0
Jong Tae-Se,North Korea,105,3,0,0,3,1,12,2,0,forward,270,13,58,2,0
Kim Kum-Il,North Korea,105,3,0,0,3,1,12,2,0,forward,42,0,18,0,0
Kim Yong-Jun,North Korea,105,3,0,0,3,1,12,2,0,midfielder,32,1,10,0,0
Mun In-Guk,North Korea,105,3,0,0,3,1,12,2,0,midfielder,205,2,71,7,0
Nam Song-Chol,North Korea,105,3,0,0,3,1,12,2,0,defender,15,0,6,0,0
Pak Chol-Jin,North Korea,105,3,0,0,3,1,12,2,0,defender,270,0,56,4,0
Pak Nam-Chol,North Korea,105,3,0,0,3,1,12,2,0,midfielder,238,1,101,7,0
Ri Jun-Il,North Korea,105,3,0,0,3,1,12,2,0,defender,270,1,75,2,0
Ri Kwang-Chon,North Korea,105,3,0,0,3,1,12,2,0,defender,270,1,59,4,0
Ri Myong-Guk,North Korea,105,3,0,0,3,1,12,2,0,goalkeeper,270,0,46,0,19
Alcaraz,Paraguay,31,5,1,3,1,3,2,9,0,defender,390,1,172,13,0
Barreto,Paraguay,31,5,1,3,1,3,2,9,0,midfielder,111,2,38,3,0
Barrios,Paraguay,31,5,1,3,1,3,2,9,0,forward,308,6,89,2,0
Benitez,Paraguay,31,5,1,3,1,3,2,9,0,forward,83,2,25,2,0
Bonet,Paraguay,31,5,1,3,1,3,2,9,0,midfielder,300,0,108,4,0
Caniza,Paraguay,31,5,1,3,1,3,2,9,0,defender,90,4,44,1,0
Cardozo,Paraguay,31,5,1,3,1,3,2,9,0,forward,204,3,53,2,0
Caceres,Paraguay,31,5,1,3,1,3,2,9,0,defender,90,0,71,0,0
Caceres,Paraguay,31,5,1,3,1,3,2,9,0,midfielder,354,1,170,17,0
Da Silva,Paraguay,31,5,1,3,1,3,2,9,0,defender,480,1,235,11,0
Morel Rodriguez,Paraguay,31,5,1,3,1,3,2,9,0,defender,480,1,202,7,0
Ortigoza,Paraguay,31,5,1,3,1,3,2,9,0,midfielder,75,0,60,5,0
Riveros,Paraguay,31,5,1,3,1,3,2,9,0,midfielder,480,5,236,22,0
Santa Cruz,Paraguay,31,5,1,3,1,3,2,9,0,forward,312,6,134,1,0
Santana,Paraguay,31,5,1,3,1,3,2,9,0,midfielder,120,2,28,7,0
Torres,Paraguay,31,5,1,3,1,3,2,9,0,defender,82,2,29,1,0
Valdez,Paraguay,31,5,1,3,1,3,2,9,0,forward,337,8,57,9,0
Vera,Paraguay,31,5,1,3,1,3,2,9,0,midfielder,414,5,138,14,0
Veruen,Paraguay,31,5,1,3,1,3,2,9,0,defender,90,0,26,3,0
Villar,Paraguay,31,5,1,3,1,3,2,9,0,goalkeeper,480,0,99,0,10
Almeida,Portugal,3,4,1,2,1,7,1,8,1,forward,136,5,42,3,0
Amorim,Portugal,3,4,1,2,1,7,1,8,1,midfielder,5,1,7,0,0
Bruno Alves,Portugal,3,4,1,2,1,7,1,8,1,defender,360,1,166,5,0
Carvalho,Portugal,3,4,1,2,1,7,1,8,1,defender,360,2,173,11,0
Danny,Portugal,3,4,1,2,1,7,1,8,1,forward,176,1,62,7,0
Deco,Portugal,3,4,1,2,1,7,1,8,1,midfielder,62,0,45,1,0
Duda,Portugal,3,4,1,2,1,7,1,8,1,defender,70,0,18,2,0
Eduardo,Portugal,3,4,1,2,1,7,1,8,1,goalkeeper,360,0,51,0,17
Ferreira,Portugal,3,4,1,2,1,7,1,8,1,defender,90,0,37,1,0
Fabio Coentrao,Portugal,3,4,1,2,1,7,1,8,1,defender,360,1,152,13,0
Liedson,Portugal,3,4,1,2,1,7,1,8,1,forward,121,4,27,2,0
Meireles,Portugal,3,4,1,2,1,7,1,8,1,midfielder,329,6,154,9,0
Mendes,Portugal,3,4,1,2,1,7,1,8,1,midfielder,224,0,117,9,0
Miguel,Portugal,3,4,1,2,1,7,1,8,1,defender,90,1,52,2,0
Pepe,Portugal,3,4,1,2,1,7,1,8,1,midfielder,136,1,43,3,0
Ricardo Costa,Portugal,3,4,1,2,1,7,1,8,1,defender,179,0,44,9,0
Ronaldo,Portugal,3,4,1,2,1,7,1,8,1,forward,360,18,91,3,0
Simao,Portugal,3,4,1,2,1,7,1,8,1,midfielder,217,2,76,7,0
Tiago,Portugal,3,4,1,2,1,7,1,8,1,midfielder,298,6,155,15,0
Veloso,Portugal,3,4,1,2,1,7,1,8,1,midfielder,26,1,30,1,0
Ivanovic,Serbia,15,3,1,0,2,2,3,8,1,defender,270,3,115,2,0
Jovanovic,Serbia,15,3,1,0,2,2,3,8,1,midfielder,245,4,65,2,0
Kacar,Serbia,15,3,1,0,2,2,3,8,1,midfielder,20,1,7,1,0
Kolarov,Serbia,15,3,1,0,2,2,3,8,1,defender,180,2,46,8,0
Krasic,Serbia,15,3,1,0,2,2,3,8,1,midfielder,242,3,60,2,0
Kuzmanovic,Serbia,15,3,1,0,2,2,3,8,1,midfielder,180,4,103,1,0
Lazovic,Serbia,15,3,1,0,2,2,3,8,1,forward,44,1,14,0,0
Lukovic,Serbia,15,3,1,0,2,2,3,8,1,defender,164,1,98,6,0
Milijas,Serbia,15,3,1,0,2,2,3,8,1,midfielder,62,0,35,3,0
Ninkovic,Serbia,15,3,1,0,2,2,3,8,1,midfielder,160,1,91,2,0
Obradovic,Serbia,15,3,1,0,2,2,3,8,1,defender,90,1,42,2,0
Pantelic,Serbia,15,3,1,0,2,2,3,8,1,forward,113,3,24,1,0
Petrovic,Serbia,15,3,1,0,2,2,3,8,1,midfielder,15,1,3,1,0
Stankovic,Serbia,15,3,1,0,2,2,3,8,1,midfielder,270,3,165,5,0
Stojkovic,Serbia,15,3,1,0,2,2,3,8,1,goalkeeper,270,0,52,0,7
Subotic,Serbia,15,3,1,0,2,2,3,8,1,defender,104,0,49,3,0
Tosic,Serbia,15,3,1,0,2,2,3,8,1,midfielder,28,3,9,0,0
Vidic,Serbia,15,3,1,0,2,2,3,8,1,defender,270,2,158,7,0
Zigic,Serbia,15,3,1,0,2,2,3,8,1,forward,227,5,65,2,0
Cech,Slovakia,34,4,1,1,2,5,7,11,0,defender,90,0,35,2,0
Durica,Slovakia,34,4,1,1,2,5,7,11,0,defender,360,1,159,4,0
Hamsik,Slovakia,34,4,1,1,2,5,7,11,0,midfielder,358,5,143,3,0
Holosko,Slovakia,34,4,1,1,2,5,7,11,0,forward,29,0,11,1,0
Jakubko,Slovakia,34,4,1,1,2,5,7,11,0,forward,2,0,1,0,0
Jendrisek,Slovakia,34,4,1,1,2,5,7,11,0,forward,250,3,55,4,0
Kopunek,Slovakia,34,4,1,1,2,5,7,11,0,midfielder,22,1,17,0,0
Kozak,Slovakia,34,4,1,1,2,5,7,11,0,midfielder,90,0,66,3,0
Kucka,Slovakia,34,4,1,1,2,5,7,11,0,midfielder,181,4,71,10,0
Mucha,Slovakia,34,4,1,1,2,5,7,11,0,goalkeeper,360,0,85,0,14
Pekaruek,Slovakia,34,4,1,1,2,5,7,11,0,defender,270,0,93,8,0
Petras,Slovakia,34,4,1,1,2,5,7,11,0,defender,1,0,0,0,0
Salata,Slovakia,34,4,1,1,2,5,7,11,0,defender,83,1,40,2,0
Sapara,Slovakia,34,4,1,1,2,5,7,11,0,midfielder,2,0,5,0,0
Sestak,Slovakia,34,4,1,1,2,5,7,11,0,forward,152,3,27,1,0
Skrtel,Slovakia,34,4,1,1,2,5,7,11,0,defender,360,0,202,4,0
Stoch,Slovakia,34,4,1,1,2,5,7,11,0,midfielder,193,2,76,1,0
Strba,Slovakia,34,4,1,1,2,5,7,11,0,midfielder,267,2,137,5,0
Vittek,Slovakia,34,4,1,1,2,5,7,11,0,forward,353,10,118,0,0
Weiss,Slovakia,34,4,1,1,2,5,7,11,0,midfielder,269,2,84,2,0
Zabavnuek,Slovakia,34,4,1,1,2,5,7,11,0,defender,268,1,94,8,0
Birsa,Slovenia,25,3,1,1,1,3,3,9,0,midfielder,261,6,61,5,0
Brecko,Slovenia,25,3,1,1,1,3,3,9,0,defender,270,1,95,5,0
Cesar,Slovenia,25,3,1,1,1,3,3,9,0,defender,270,1,89,2,0
Dedic,Slovenia,25,3,1,1,1,3,3,9,0,forward,84,0,22,1,0
Handanovic,Slovenia,25,3,1,1,1,3,3,9,0,goalkeeper,270,0,66,0,13
Jokic,Slovenia,25,3,1,1,1,3,3,9,0,defender,270,0,109,10,0
Kirm,Slovenia,25,3,1,1,1,3,3,9,0,midfielder,259,1,88,4,0
Komac,Slovenia,25,3,1,1,1,3,3,9,0,midfielder,4,0,3,1,0
Koren,Slovenia,25,3,1,1,1,3,3,9,0,midfielder,270,3,162,3,0
Ljubijankic,Slovenia,25,3,1,1,1,3,3,9,0,forward,173,2,36,2,0
Matavz,Slovenia,25,3,1,1,1,3,3,9,0,forward,11,0,4,0,0
Novakovic,Slovenia,25,3,1,1,1,3,3,9,0,forward,270,2,68,1,0
Pecnik,Slovenia,25,3,1,1,1,3,3,9,0,forward,21,0,4,1,0
Radosavljevic,Slovenia,25,3,1,1,1,3,3,9,0,midfielder,267,1,129,6,0
Suler,Slovenia,25,3,1,1,1,3,3,9,0,defender,270,0,102,5,0
Dikgacoi,South Africa,83,3,1,1,1,3,5,4,1,midfielder,180,2,108,4,0
Josephs,South Africa,83,3,1,1,1,3,5,4,1,goalkeeper,101,0,20,0,3
Khuboni,South Africa,83,3,1,1,1,3,5,4,1,midfielder,78,1,48,1,0
Khumalo,South Africa,83,3,1,1,1,3,5,4,1,defender,270,2,74,4,0
Khune,South Africa,83,3,1,1,1,3,5,4,1,goalkeeper,166,1,24,0,4
Letsholonyane,South Africa,83,3,1,1,1,3,5,4,1,midfielder,147,0,89,6,0
Masilela,South Africa,83,3,1,1,1,3,5,4,1,defender,225,0,107,6,0
Modise,South Africa,83,3,1,1,1,3,5,4,1,midfielder,192,5,111,4,0
Mokoena,South Africa,83,3,1,1,1,3,5,4,1,defender,270,0,83,5,0
Moriri,South Africa,83,3,1,1,1,3,5,4,1,midfielder,33,0,22,0,0
Mphela,South Africa,83,3,1,1,1,3,5,4,1,forward,270,10,60,2,0
Ngongca,South Africa,83,3,1,1,1,3,5,4,1,defender,55,0,21,1,0
Nomvete,South Africa,83,3,1,1,1,3,5,4,1,forward,22,0,5,1,0
Pa Gaxa,South Africa,83,3,1,1,1,3,5,4,1,defender,215,1,95,2,0
Parker,South Africa,83,3,1,1,1,3,5,4,1,forward,75,1,32,2,0
Pienaar,South Africa,83,3,1,1,1,3,5,4,1,midfielder,252,2,126,3,0
Sibaya,South Africa,83,3,1,1,1,3,5,4,1,midfielder,90,1,39,2,0
Thwala,South Africa,83,3,1,1,1,3,5,4,1,defender,45,0,19,2,0
Tshabalala,South Africa,83,3,1,1,1,3,5,4,1,midfielder,270,9,135,8,0
Cha Du-Ri,South Korea,47,4,1,1,2,6,8,6,0,defender,270,2,105,3,0
Cho Yong-Hyung,South Korea,47,4,1,1,2,6,8,6,0,defender,360,0,111,10,0
Jung Sung-Ryong,South Korea,47,4,1,1,2,6,8,6,0,goalkeeper,360,0,49,0,14
Ki Sung-Yong,South Korea,47,4,1,1,2,6,8,6,0,midfielder,292,2,162,6,0
Kim Dong-Jin,South Korea,47,4,1,1,2,6,8,6,0,defender,1,0,0,0,0
Kim Jae-Sung,South Korea,47,4,1,1,2,6,8,6,0,midfielder,65,0,37,0,0
Kim Jung-Woo,South Korea,47,4,1,1,2,6,8,6,0,midfielder,360,4,184,10,0
Kim Nam-Il,South Korea,47,4,1,1,2,6,8,6,0,midfielder,86,2,38,6,0
Lee Chung-Yong,South Korea,47,4,1,1,2,6,8,6,0,midfielder,359,7,147,12,0
Lee Dong-Gook,South Korea,47,4,1,1,2,6,8,6,0,forward,38,1,14,0,0
Lee Jung-Soo,South Korea,47,4,1,1,2,6,8,6,0,defender,360,2,164,8,0
Lee Seung-Yeoul,South Korea,47,4,1,1,2,6,8,6,0,forward,3,0,0,0,0
Lee Young-Pyo,South Korea,47,4,1,1,2,6,8,6,0,defender,360,2,160,2,0
Oh Beom-Seok,South Korea,47,4,1,1,2,6,8,6,0,defender,90,1,34,3,0
Park Chu-Young,South Korea,47,4,1,1,2,6,8,6,0,forward,347,14,96,0,0
Park Ji-Sung,South Korea,47,4,1,1,2,6,8,6,0,midfielder,360,5,127,13,0
Yeom Ki-Hun,South Korea,47,4,1,1,2,6,8,6,0,midfielder,249,2,80,6,0
Alonso,Spain,2,6,5,0,1,7,2,3,0,midfielder,506,9,465,18,0
Arbeloa,Spain,2,6,5,0,1,7,2,3,0,defender,13,0,12,0,0
Busquets,Spain,2,6,5,0,1,7,2,3,0,midfielder,511,0,466,15,0
Capdevila,Spain,2,6,5,0,1,7,2,3,0,defender,540,1,310,10,0
Casillas,Spain,2,6,5,0,1,7,2,3,0,goalkeeper,540,0,67,0,11
Fabregas,Spain,2,6,5,0,1,7,2,3,0,midfielder,94,1,116,2,0
Iniesta,Spain,2,6,5,0,1,7,2,3,0,midfielder,437,8,299,11,0
Javi Martuenez,Spain,2,6,5,0,1,7,2,3,0,midfielder,17,0,17,0,0
Jesus Navas,Spain,2,6,5,0,1,7,2,3,0,midfielder,118,4,61,1,0
Juan Mata,Spain,2,6,5,0,1,7,2,3,0,midfielder,20,1,16,0,0
Llorente,Spain,2,6,5,0,1,7,2,3,0,forward,31,2,12,0,0
Marchena,Spain,2,6,5,0,1,7,2,3,0,defender,8,0,1,0,0
Pedro Rodriguez,Spain,2,6,5,0,1,7,2,3,0,midfielder,116,5,80,0,0
Pique,Spain,2,6,5,0,1,7,2,3,0,defender,540,2,402,15,0
Puyol,Spain,2,6,5,0,1,7,2,3,0,defender,534,3,254,8,0
Ramos,Spain,2,6,5,0,1,7,2,3,0,defender,527,9,299,7,0
Silva,Spain,2,6,5,0,1,7,2,3,0,midfielder,66,2,42,2,0
Torres,Spain,2,6,5,0,1,7,2,3,0,forward,278,9,50,0,0
Villa,Spain,2,6,5,0,1,7,2,3,0,forward,529,22,169,2,0
Xavi,Spain,2,6,5,0,1,7,2,3,0,midfielder,515,4,563,6,0
Barnetta,Switzerland,24,3,1,1,1,1,1,8,1,midfielder,227,3,104,5,0
Behrami,Switzerland,24,3,1,1,1,1,1,8,1,midfielder,31,0,4,1,0
Benaglio,Switzerland,24,3,1,1,1,1,1,8,1,goalkeeper,270,0,75,0,11
Bunjaku,Switzerland,24,3,1,1,1,1,1,8,1,forward,13,0,5,0,0
Derdiyok,Switzerland,24,3,1,1,1,1,1,8,1,forward,191,4,47,1,0
Eggimann,Switzerland,24,3,1,1,1,1,1,8,1,defender,1,0,0,0,0
Fernandes,Switzerland,24,3,1,1,1,1,1,8,1,midfielder,212,1,56,7,0
Frei,Switzerland,24,3,1,1,1,1,1,8,1,forward,63,2,11,0,0
Grichting,Switzerland,24,3,1,1,1,1,1,8,1,defender,270,1,82,6,0
Huggel,Switzerland,24,3,1,1,1,1,1,8,1,midfielder,258,0,87,8,0
Inler,Switzerland,24,3,1,1,1,1,1,8,1,midfielder,270,2,138,6,0
Lichtsteiner,Switzerland,24,3,1,1,1,1,1,8,1,defender,270,2,80,10,0
Nkufo,Switzerland,24,3,1,1,1,1,1,8,1,forward,227,2,65,2,0
Senderos,Switzerland,24,3,1,1,1,1,1,8,1,defender,36,0,9,1,0
Shaqiri,Switzerland,24,3,1,1,1,1,1,8,1,midfielder,12,0,9,0,0
Yakin,Switzerland,24,3,1,1,1,1,1,8,1,midfielder,56,3,26,0,0
Ziegler,Switzerland,24,3,1,1,1,1,1,8,1,defender,270,1,71,9,0
von Bergen,Switzerland,24,3,1,1,1,1,1,8,1,defender,234,0,79,3,0
Abreu,Uruguay,16,6,3,2,1,9,5,8,2,forward,72,0,15,0,0
Arevalo Rios,Uruguay,16,6,3,2,1,9,5,8,2,midfielder,570,5,195,21,0
Cavani,Uruguay,16,6,3,2,1,9,5,8,2,forward,435,9,151,11,0
Caceres,Uruguay,16,6,3,2,1,9,5,8,2,defender,90,0,32,4,0
Eguren,Uruguay,16,6,3,2,1,9,5,8,2,midfielder,2,0,1,0,0
Fernandez,Uruguay,16,6,3,2,1,9,5,8,2,midfielder,75,1,17,3,0
Fernandez,Uruguay,16,6,3,2,1,9,5,8,2,forward,7,0,5,0,0
Forlan,Uruguay,16,6,3,2,1,9,5,8,2,forward,564,18,202,0,0
Fucile,Uruguay,16,6,3,2,1,9,5,8,2,defender,371,2,115,14,0
Gargano,Uruguay,16,6,3,2,1,9,5,8,2,midfielder,91,0,44,1,0
Goduen,Uruguay,16,6,3,2,1,9,5,8,2,defender,315,1,120,9,0
Gonzalez,Uruguay,16,6,3,2,1,9,5,8,2,midfielder,63,0,34,2,0
Lodeiro,Uruguay,16,6,3,2,1,9,5,8,2,midfielder,109,0,37,1,0
Lugano,Uruguay,16,6,3,2,1,9,5,8,2,defender,398,2,67,6,0
Maxi Pereira,Uruguay,16,6,3,2,1,9,5,8,2,midfielder,570,5,182,15,0
Muslera,Uruguay,16,6,3,2,1,9,5,8,2,goalkeeper,570,0,75,0,16
Perez,Uruguay,16,6,3,2,1,9,5,8,2,midfielder,567,2,252,34,0
Scotti,Uruguay,16,6,3,2,1,9,5,8,2,defender,95,0,22,5,0
Suarez,Uruguay,16,6,3,2,1,9,5,8,2,forward,452,19,127,4,0
Victorino,Uruguay,16,6,3,2,1,9,5,8,2,defender,435,0,141,7,0
Alvaro Pereira,Uruguay,16,6,3,2,1,9,5,8,2,midfielder,409,6,140,17,0
Beasley,USA,14,4,1,2,1,5,5,9,0,midfielder,10,0,4,0,0
Bocanegra,USA,14,4,1,2,1,5,5,9,0,defender,390,1,130,9,0
Bornstein,USA,14,4,1,2,1,5,5,9,0,defender,200,2,72,5,0
Bradley,USA,14,4,1,2,1,5,5,9,0,midfielder,390,6,210,9,0
Buddle,USA,14,4,1,2,1,5,5,9,0,forward,39,1,12,0,0
Cherundolo,USA,14,4,1,2,1,5,5,9,0,defender,390,1,180,10,0
Clark,USA,14,4,1,2,1,5,5,9,0,midfielder,121,0,42,4,0
Demerit,USA,14,4,1,2,1,5,5,9,0,defender,390,2,129,7,0
Dempsey,USA,14,4,1,2,1,5,5,9,0,midfielder,390,15,137,6,0
Donovan,USA,14,4,1,2,1,5,5,9,0,forward,390,7,165,9,0
Edu,USA,14,4,1,2,1,5,5,9,0,midfielder,198,2,116,4,0
Feilhaber,USA,14,4,1,2,1,5,5,9,0,midfielder,165,3,71,5,0
Findley,USA,14,4,1,2,1,5,5,9,0,forward,167,1,40,0,0
Gomez,USA,14,4,1,2,1,5,5,9,0,forward,85,4,18,0,0
Holden,USA,14,4,1,2,1,5,5,9,0,midfielder,4,0,2,0,0
Howard,USA,14,4,1,2,1,5,5,9,0,goalkeeper,390,0,81,0,14
Jozy Altidore,USA,14,4,1,2,1,5,5,9,0,forward,356,8,84,2,0
Onyewu,USA,14,4,1,2,1,5,5,9,0,defender,170,1,69,2,0
Torres,USA,14,4,1,2,1,5,5,9,0,midfielder,45,1,32,0,0
