country,winery,variety,points,price,description
Italy,Paolo Cal,Red Blend,91,,"This fragrant blend of Nero d'Avola and Frappato boasts alluring blue flower, black-skinned berry and leather aromas. The balanced, savory palate doles out ripe black cherry, clove and licorice flavors, with round, polished tannins that give it a smooth texture. Enjoy through 2021."
US,Pepper Bridge,Bordeaux-style Red Blend,91,60,"This wine is half Merlot, with the rest equal parts Cabernet Sauvignon and Malbec. Brooding aromas of black licorice, barrel spice and dark fruit lead to plentiful fruit and barrel flavors that show a lovely sense of balance. The tannins bring some grip."
US,Quady North,Rhne-style White Blend,91,20,"Close to half Viognier, this is cofermented with Roussanne and Marsanne, then blended with 7% Grenache Blanc. A small portion of the Viognier was fermented in Acacia oak. Deep and rich flavors are packed with sliced pear, then range on through oranges and mixed citrus, adding a touch of vanilla in a fresh tangy lingering finish."
US,Kit,Rhne-style White Blend,89,22,"Strong white flower aromas, from honeysuckle to jasmine to tuberose, meet with fresh apple blossoms and tropical elements of banana and coconut on the nose of the bottling, a blend of 60% Marsanne, 38% Roussanne and 2% Grenache Blanc. There's a sharp and sizzling acidity on the palate, where apple flesh and red pear flavors dance across the tongue with gusto."
Italy,La Magia,Sangiovese,89,90,"Toast, oak, coffee, underbrush and baked plum aromas unfold on this extremely ripe, full-bodied wine. The densely concentrated palate delivers blackberry jam, licorice, oak roasted coffee bean, coconut and a vanilla note alongside astringent tannins. Give the tannins another few years to soften then drink sooner rather than later."
US,Loring Wine Company,Chardonnay,89,24,"Richly layered, the nose offers pan-fried apples, butter, vanilla, cinnamon brioche, fleshy peach and roasted nuts. The palate is action-packed with brown spice, juicy lemons and ripe cherimoya, bound by prominent acidity. Be forewarned that the wine grows overripe hours after opening."
US,Merry Cellars,Merlot,89,34,"Aromas of vanilla and baking spice are followed by ample red fruit and spice flavors. The acids are tart, giving the wine a zing."
Canada,Mission Hill,Merlot,89,32,"Included in the blend are small portions of Cabernet Franc and Petit Verdot, but this is Merlot with a dark side all its own. Smoke, rubber and tar highlights augment a wine with black fruits, stiff tannins and threads of licorice and sage. It's not your mama's Merlot, but it's authoritative and interesting."
Morocco,Ouled Thaleb,Red Blend,89,25,"This wine has a bouquet of raspberry, tart cherry and menthol. A medley of fruit and cooling herb flavorsin particular black cherry, cassis, mint and menthol with a hint of juniper berryfills the mouth. Tannins are smooth and soft and the bright finish is marked with a touch of menthol."
Spain,Pagos del Rey,Tempranillo,89,20,"Saucy berry aromas are accompanied by notes of coffee, olive and forest floor. This has a drawing mouthfeel, while the palate collapses a bit on itself. Flavors of raspberry and cherry offer no small amount of vanilla and oak, while the finish is lively, long and oaky. Drink through 2022."
Italy,Palazzo,Sangiovese,89,65,"Charred earth, underbrush, cured meat and toasted hazelnut aromas lift out of the glass. The robust palate is almost overripe, offering dried black cherry, grilled sage, tobacco and a hint of game alongside tightly packed tannins that clench the finish. Drink 20192025."
US,Palumbo Family Vineyards,Sangiovese,89,45,"A strong showing from the South Coast, this bottling offers plump red cherries, blackberries, dried plums, cocoa, shaved dark chocolate, kola nut and iron on the nose. The palate is laden with dark chocolate and cinnamon atop elderberry fruit, lifted with elderflower, lilacs and leathery tannins that drive into the finish."
Italy,Pepi Lignana,Red Blend,89,15,"A blend of 85% Cabernet Sauvignon and 15% Petit Verdot, this has aromas of red currant, green bell pepper and clove. The bright palate delivers cassis, cedar and espresso framed in polished tannins."
US,Plumb Cellars,Bordeaux-style Red Blend,89,36,"This Bordeaux-style blend offers reserved aromas of cedar, dried herbs and cranberries, vanilla and woodspice. The dark-fruit and spice flavors are retrained and elegant, possessing a sense of balance."
Italy,Poggio Verrano,Red Blend,89,49,"Made from a blend of 40% Cabernet Sauvignon, 30% Merlot, 15% Alicante, 10% Sangiovese and 5% Cabernet Franc, this opens with aromas of black currant, bell pepper and clove. The palate offers mature black cherry, ginger and a hint of vanilla while firm tannins grip the finish."
Italy,Prelius,Cabernet Sauvignon,89,15,"Delicately fragrant, this opens with scents of chopped herb, elderflower, hay and citrus. On the crisp palate, a hint of vanilla underscores peach and grapefruit while a light mineral note backs up the finish."
Slovenia,Principiano Ferdinando,Ribolla Gialla,89,22,"Aromas of honeysuckle, yellow canned peach and wet slate lead to flavors of grapefruit peel, citrus blossom and lemon zest in the mouth. The finish is crisp and zippy."
US,Rancho Sisquoc,Merlot,89,20,"Blueberries and black cherries meet with rose petals, dark chocolate, brown spice and black tea on the nose of this bottling from a historic vineyard. The mouthfeel is soft with creamy tannins that grow grippier across the sip, showing cedar, black-cherry mousse, baking spice and a tinge of acidity."
US,Tamarack Cellars,Syrah,89,40,"Dark-blue fruit, thyme, sweet barrel spices and mineral aromas lead to pitch-black fruit flavors that show the warmth of the vintage but retain their balance. The tannins provide some pucker."
Italy,Val di Suga,Sangiovese,89,107,"Charred earth, leafy underbrush, prune marinated in spirits and grilled herbs come together in the glass. The warm, evolved palate shows blackberry jam, dried cherry, licorice and the heat of evident alcohol alongside bracing tannins. Give the tannins a few more years to soften then drink sooner rather than later to capture the remaining fruit."
US,Villa San Juliette,Cabernet Franc,89,46,"Quite dark in the glass, this is a lush rather than lithe expression of the shapeshifting grape, with bright boysenberry, black plum, uncrushed peppercorn, soy, roast beef and espresso aromas. Black pepper shows on the palate, but blueberry and blackberry fruits dominate, boosted by a touch of dark chocolate and presented with solid acidic sizzle."
US,Vina Robles,Petite Sirah,89,29,"Tar and slightly sour black-fruit aromas show on the nose of this brooding bottling, which also has dried plum-skin qualities. Blackberry and blueberry fruits show powerfully on the palate, alongside dark chocolate and smoked-meat flavors, all tied together with a hickory-wood element."
US,Windrun,Pinot Noir,89,30,"This accessibly priced wine shows soy, black tea, boysenberry, black pepper, baked plums and lavender notes on the nose. The palate offers lilacs, rose petals and more lavender, alongside olallieberry, pencil lead and a peppery spice."
US,Atalon,Sauvignon Blanc,89,21,"Grass, gooseberry and grapefruit wind their way around a light-bodied, crisp and ephemeral wine, aged mostly in stainless steel, with a small percentage in neutral French oak. Tiny bits of Smillon and Sauvignon Musque make their way into the mix, for a wine that's textured and refreshing."
Serbia,Budimir,Red Blend,89,40,"A blend of 60% Prokupac and 40% Cabernet Sauvignon this Serbian wine smells of red cherry and blackberry. It is full bodied, while tasting of black cherry and blackberry. The finish is fruit filled with a touch of leather."
US,City Winery of New York,Syrah,89,36,"A stalwart, sturdy rendering, this smells like ripe plums and dark spices. It tastes full of fruit but is shaded nicely by slightly smoky, peppery notes. The body is full and the texture firm with tannins and acidity. Best drink this after 2018."
US,Fess Parker,Viognier,89,37,"Tight lemon peels and a restrained, almost chalky minerality greet the nose on this single-vineyard expression of Viognier, which also shows Gala apple, a shred of nectarine and a pinch of baking spice. A clean and pithy palate packs lemon custard, tangerine zest and grapefruit flavors."
US,Francis Ford Coppola,Syrah,89,36,"Softly layered in integrated oak, this 100% varietal wine dances in raspberry, citrus and leather, with a touch of tar. Full bodied, it's a reserve-level wine that may open further in the bottle and glass."
Bulgaria,K Cellars,Chardonnay,89,12,"White flowers, dried lavender and vanilla bean scent this wine. Pleasantly acidic on entry, it tastes of lemon curd, pineapple juice and white peaches. The finish is zesty and long lasting."
US,Kendall-Jackson,Chardonnay,89,17,"A big but mild-mannered wine, this has subtle oak and butter aromas plus ripe pear, butterscotch and white-peach flavors. A nicely thick texture carries all the complexity through the finish."
US,MacPhail,Chardonnay,89,45,"Crisp, flinty minerality shows on the nose of this wine, before a more concentrated experience of baked apple and crme brle enriches the palate. Both aspects find harmony in the glass, especially on the long, textured finish."
US,Martin Lane Winery,Syrah,89,25,"This well-aged wine has a slightly earthy, new-leather aroma. Tasty, spicy flavors meet up with rich black cherry and cocoa chords to resonate through the finish. It's medium to full bodied, well balanced, moderately tannic and ready for the dinner table. The winemaker kept it in barrels for an unusual 43 months."
US,Miro,Zinfandel,89,22,"Juicy and smoky with a taste of tar, this full-bodied wine is soft and integrated in terms of oak. Black cherry, blackberry and strawberry play on the palate against measured acidity and weight."
US,Spindrift Cellars,Pinot Noir,88,22,"Light and appealing, this well-priced Willamette Valley bottling offers hints of rose petals, raspberries and thin cherry fruit. There's a whiff of sweet toast also, and the overall balance is spot on."
Italy,Terre del Marchesato,Vermentino,88,35,"This opens with aromas of pressed acacia flowers, ripe stone fruits and dried sage. The palate isn't overly sweet, offering dried apricot, wildflower honey and toasted almond notes."
US,Verse & Chorus,Red Blend,88,22,"A blend of 83% Merlot and 17% Cabernet Sauvignon, this robust red is juicy and smoky, offering tastes of blackberry, cassis and mocha. Dusty tannins give a heaviness, accented by black licorice on the finish."
US,Walnut City WineWorks,Gew_rztraminer,88,18,"Classic varietal scents of talcum powder and rosewater lead into a tangy, tart, low alcohol but bone-dry wine. The fruit is substantial, offering solid flavors of grapefruit and lemon peel."
Germany,Dr. Heyden,Silvaner,88,18,"Dusty with earth and saffron aromas, this seemingly savory Silvaner is surprisingly plump and fruity on the palate. Ripe yellow plum and cherry flavors are anchored by bracing lime acidity and a moderately long, mineral finish. Drink now."
Germany,Heinz Eifel,Riesling,88,13,"Racy and revitalizing, this delicate off-dry Riesling balances a core of fresh white peach and citrus flavors with savory smoke and nut tones. Fresh and easy going in style, it's a likely to please a wide audience."
US,Leese-Fitch,Pinot Noir,88,12,"Affordable and appetizing, this has a lighter color and subtle smoke and toasted oak aromas. A firm texture accompanies just enough tannins and acidity, and bright red cherry and black tea flavors. It's lean in a good way, with excellent balance and a touch of austerity rather than overt richness."
US,Legendre,Rhne-style Red Blend,88,28,"This blend of Syrah, Grenache, Mourvdre and Petite Sirah grapes is so packed with flavors that they seem to stumble over each other at first. It leads with a definitely earthy aroma that fades, but then the flavors come outeffusive, chocolaty, almost sweet and definitely ripe. It is full bodied and rich in texture."
France,Chteau Bovila,Malbec-Merlot,88,,"This perfumed, light wine has ripe fruits along with soft acidity and structure. By blending some Merlot with the Malbec, the producer has softened and broadened the tannins and allowed for attractive juicy red fruits at the end,"
Chile,Caliterra,Syrah,88,20,"Briary berry aromas come with notes of mint and oak-based vanilla scents. Earthy berry, prune and licorice flavors finish with rooty spice and mild herbal notes."
US,Peirano,Sauvignon Blanc,88,13,"This wine is unusually rich, with a color is deeper and more yellow than the norm. Concentrated aromas suggest ripe honeydew melon and fig. The wine also has a plush mouthfeel and lingering finish. Full-bodied and flavorful, it will be happy to take the place of a Chardonnay at your next dinner."
US,Peltier,Petite Sirah,88,10,"This is a fruit bomb supreme. Bright, effusive strawberry, raspberry and boysenberry aromas and flavors seem to spread out in all directions, first in the aroma, then repeating in the flavors and finish. With a sip or two some deeper black cherry notes emerge, and full body and gripping tannins become more apparent."
Spain,Vivanco,Tempranillo Blend,88,30,"Woodsy, cheesy, earthy aromas of berry fruits are a bit hot, jumbled and rooty in style. This is showing a mature, clampy, tannic palate with firm acidity, while earthy flavors of raspberry and plum are lightly baked. This tastes a bit raisiny on the finish. Drink now."
Italy,Tenuta Argentiera,Merlot,88,140,"Toasted oak, exotic spice and baked black fruit aromas slowly take shape on this structured Merlot. The densely extracted palate delivers coconut, blackberry extract, espresso, anisette and roasted coffee bean alongside rather astringent tannins."
Chile,Via Maipo,Carmenre,88,20,"Mossy, herbal, baked-berry aromas are accented by shades of green tones. On the palate, this is lively but a touch raw, with bold acidity. Blackberry, spiced plum, oak and herbal, grassy flavors finish snappy."
France,Chteau de Nages,Ros,88,14,"This is the casual sipper of the Chteau de Nages ros pair, offering slightly briny, fum notes on the nose, but following them up with peach and melon fruit flavors that finish long, crisp and dry."
US,Acrobat,Pinot Gris,88,13,"Lush and creamy as soon as it hits the palate, this fine value is packed with flavors of fresh-sliced, just-ripe pear. Hints of apple and tangerine further expand the flavor, and it finishes crisp and clean."
US,Anam Cara,Pinot Noir,88,33,"Forward, round and immediately accessible, this brings a generous mix of brambly berry, black cherry and cola to the forefront. There's a touch of dusty spice, hinting at the time spent in 21% new oak."
Italy,Capezzana,Red Blend,88,60,"A blend of 50% Cabernet Sauvignon, 20% Merlot and 30% Syrah, this opens with aromas of espresso, toasted oak, ground pepper, ripe black-skinned fruit and game. The extracted palate offers licorice, raisin, clove and tobacco alongside raspy tannins that leave an astringent finish. The fruit is starting to dry up so drink sooner rather than later."
Italy,Cennatoio,Merlot,88,65,"Red currant, blackberry, espresso, wood shavings and cedar aromas unfold in the glass. The palate offers dried black cherry, anise, coffee, coconut and oak alongside alongside drying tannins that leave an astringent finish. The fruit is starting to dry up so drink sooner rather than later."
France,Domaine du Tariquet,Chardonnay-Sauvignon Blanc,88,16,"In this intriguing blend, the herbaceous Sauvignon Blanc dominates the smoother Chardonnay. The wine is all about crispness and freshness with a strongly aromatic component. Acidity and a touch of minerality come through at the end."
US,Donati,Syrah-Grenache,88,25,"Distinct aromas of sizzling bacon wafts from this blend of 75% Syrah and 25% Grenache, along with smashed blackberries and a slightly reductive tar quality. The chunky palate is very meaty and smoky, with dried red cherries, espresso and asphalt elements, proving a bit rustic."
US,Artisan Uprising,Malbec,88,35,"The inviting aromas of campfire smoke dominate the aromas of this wine, but there are also pressed red cherry, berry reduction sauce and roasted venison elements on the nose. The palate picks up morel mushrooms, mulberry, cranberry, smoked meats, ponzu sauce, black pepper and a bit of sour fruit, proving to be a very solid sipper."
US,Blackbird Vineyards,Bordeaux-style Red Blend,88,125,"A majority of Cabernet Franc combines with 23% Cabernet Sauvignon and 23% Merlot. The result is a dense expression of cherry, strawberry and vanilla, sharp on the tongue in tar and tobacco, the tannins tightly wound."
France,Chteau Viella,Red Blend,88,11,"While this has a strongly tannic structure from the Tannat in the blend, the wine is also showing its ripe fruits and generous texture. Black plum skins and blackberries give a juicy edge to this wine that will be ready to drink from 2016."
Spain,Consejo de la Alta,Tempranillo,88,24,"Cherry, plum and raspberry aromas cover the red end of the aromatic spectrum. A wide, tannic, grabby body and earthy flavors of raspberry and baked plum finish bold and choppy, with freshening acidity."
France,Domaine Cauhap,White Blend,88,17,"Intensely acid in its youth, this bone-dry wine needs a few months. For now, it is tight and steely, very fresh and aromatic, but requires time to open out and broaden. Drink from the end of 2015."
Greece,Domaine Gioulis,White Blend,88,12,"This vivacious white is a beach pour with class. Fresh lemon zest and floral aromas and a combination of white fruit, minerals and citrus on the palate are lively and light, but the wine has some weight behind it."
France,Andr Brunel,Rhne-style White Blend,88,20,"This blend of 50% Roussanne, 30% Grenache Blanc and 20% Clairette is soft in texture. A welcoming mix of ripe stone fruit and spicy nasturtium blossom finish clean and refreshing."
Germany,Heinz Eifel,Riesling,88,14,"Savory apple and lemon, earth and bramble tones persist throughout this semisweet Riesling. It's refreshingly crisp and nimble making it an easy everyday pairing for casual chicken or fish dinners at home."
US,Fess Parker,Red Blend,91,35,"This proprietary blend starts with a very gamy though thoroughly enjoyable nose of charred meat, coffee, berry and compost. On the palate, there is espresso, dried herbs and black cherry, proving to be a complex and savory yet very easy-to-like wine."
Portugal,Quinta Seara d'Ordens,Portuguese Red,91,75,"Seara d'Ordens is a quinta at the western end of the Douro region. This rich and polished wine is full of black fruits, with herbal overtones and layers of wood aging that have left espresso flavors. With this concentration, the wine needs to age for several years; drink after 2017."
US,Sparkling Pointe,Champagne Blend,91,60,"Honey and lemon accent the nose and palate of this stately flagship wine from Sparkling Pointe. Extended lees aging lends remarkable depth and complexityshades of brioche and almond add a richness on the palate. Revitalizing acidity and a train of tiny bubbles lead to a soft, pillowy foam."
Chile,Santa Rita,Red Blend,91,40,"Slightly green, minty aromas of tobacco, spice, purple flower and sawdust filter onto a structured, lively palate. Flavors of dark berry fruits are accented by mint, coffee and chocolate, while the finish hits with controlled heat and herbal berry flavors. Drink this Cabernet Franc-Cabernet Sauvignon-Carmenre blend through 2020."
US,Savage Grace,Chardonnay,91,26,"This is a lightly aromatic wine, with notes of lees, apple, mineral and spice. It's medium bodied, with a thick, textured feel showing good weight and intensity to the fruit flavors alongside well-balanced acidity. A uniquely styled wine without an easy comparison in the region."
US,Sineann,Petit Verdot,91,36,"From the acclaimed Champoux vineyard, this puts the purple fruit in a wrap of pretty baking spices. Barrel aging adds cocoa and coffee, while the acidity is sufficient to keep the wine from feeling too tannic. Another couple of years of bottle ageor brisk decantingshould put it at its peak."
Chile,Via San Vicente,Cabernet Sauvignon-Carmenre,91,35,"On the nose, this blend is leathery and earthy. Bold berry and cassis flavors on the palate are amplified by strong notes of baking spice and chocolate, while the finish is oaky and shows moderate complexity. Drink through 2019."
France,Domaine Grard Neumeyer,Riesling,91,,"From vines farmed by Neumeyer for the local Hospices de Molsheim charity, this intense wine has a ripe character that is already rounding out its acidity. With minerality from the chalk soil, it's complex and will develop over several years. Drink from 2016."
France,Domaine Schoffit,Riesling,91,25,"An elegant, poised wine that's bone dry, nervy and lightly fruity. The wine is balanced between its fresh acidity and ripe fruitiness. With its bright texture, it's a wine that needs food. Drink from 2016."
France,Domaine Zinck,Gew_rztraminer,91,48,"Medium sweet in character, this is a rich wine that's driven by its rich terroir. The chalk and gravel soil of the Goldert vineyard produces great spiciness that is balanced by delicate acidity and the possibility of aging further. Drink now, but it will be better from 2016."
France,Domaines Schlumberger,Riesling,91,29,"The wine has a golden character, warm and ripe. Its rich fruits bring out honeydew melon and pineapple as well as crisper orange zest. The structure and the rich texture are already all there, although it will develop well until 2020."
US,Evening Land,Chardonnay,91,35,"Lean and crisp, this light, ethereal Chardonnay develops in the glass into something more substantial and complex. Herbal and slightly savory, it intrigues and will be a nice companion to fresh green salads in a light vinaigrette."
US,FEL,Chardonnay,91,48,"Like a bouquet made of different types of flowers, this polished wine brings diverse elements into a pleasing whole. There are ripe tropical fruit, vanilla and butter aromas, rich apple and pear flavors, a soothing smooth texture and lingering finish."
Canada,Inniskillin,Vidal,91,60,"A very aromatic wine, showing notes of orange marmalade, brown sugar and apricot. It's supremely rich, with a mango and honey filled finish."
Lebanon,Ixsir,Syrah-Cabernet Sauvignon,91,30,"Aromas of cherry and vanilla continue to the palate alongside notes of toffee, smoked meat and roasted red pepper. A well-balanced wine, with flavors that are equal parts fruity and savory, the finish boasts lingering tannins and bright acidity. Fine Terroir Selections, Misa Imports."
US,Klinker Brick,Syrah,91,20,"Rich and meaty enough to sink your teeth into, this dark and deep Syrah has toasty, smoky aromas. Generous blackberry and boysenberry flavors that are full but not sweet accompany a velvety texture. This is tasty now, but has the layered tannins and acidity for aging. Best now through 2019."
US,Paratus,Cabernet Sauvignon,91,70,"From an estate vineyard high atop Mount Veeder, this 100% Cabernet Sauvignon is dark and inky, concentrated in color and flavor, a brambly intensity at the center of it all. Peppercorns and clove accent its larger smoky, espresso side, the body full and velvety."
Portugal,Quevedo,Portuguese Red,91,23,"A ripe, tannic and herbal wine, this has been produced for aging. It shows a dark tannic side over the juicy black plum fruits and berry flavors. The wood aging shows in the way the wine smoothes out at the end, leaving a rich, full-bodied aftertaste. Drink from 2016."
US,Quivira,Zinfandel,91,38,"The grapes are Demeter-certified Biodynamic in this 100% Zin, grown on a ridge-top vineyard overlooking the Dry Creek Valley. A fully realized, satisfying wine, it offers cherry vanilla, tar and toasty bacon among warm tones of complementary spicy cinnamon."
US,Santa Barbara Winery,Chardonnay,91,25,"Warmed croissant yeastiness matches up with sea salt and lemon butter on the nose of this bottling from the pioneering Santa Barbara Winery. The salinity carries on the palate, with apple pie and butterscotch presenting a nicely oaked but not overdone palate."
US,Taken Wine Co.,Chardonnay,91,18,"This is a delicious Chardonay. It dances in pear, peach and lemon notes. Balanced and addictive, it's easy to love and not overly complicated at all. Encased in just enough oak to provide texture and weight, this is a great wine for parties or casual dinners, pairable with just about anything."
France,Boeckel,Gew_rztraminer,91,,"The wine is rich, medium sweet and intensely aromatic and spicy. A spicily hot character derives from the pepper, bergamot and cardamom flavors. At the back are a firm structure and tropical fruits. Age this wine and don't drink before 2017."
US,Brown Estate,Red Blend,91,40,"Brown calls this wine its Cab lover's Zin, blending 60% Zinfandel with Cabernet Sauvignon and Petite Sirah. It is a stunner, sultry in juicy red plum, cassis, currant and earthy tobacco. Tannins are soft and leathery, and all the varieties are well represented."
France,Chteau de Ferrand,Bordeaux-style Red Blend,91,,"Very rich, this ripe and rounded wine is typical of the powerful 2010 vintage. It's dense and concentrated, packed with black plum and sweet berry fruits. It shows a dense structure along with juicy fruits. It could be over the top, but the acidity and tannins hold it back. Drink from 2018."
France,Chteau Haut-Logat,Bordeaux-style Red Blend,91,24,"A wine that is rich in both tannins and ripe fruit. The 45% Cabernet Sauvignon in the blend gives the concentration of the wine, with spice and black berry fruits that are given an extra richness by the intense dark plums. The wine needs aging, so drink from 2018."
US,Concannon,Red Blend,91,20,"Very concentrated, beautifully ripe and blackberrylike in flavor, this abounds with goodness from the grapes rather than woody flavors from barrels. The sweet-seeming fruit flavors come without a lot of tannin to dry the texture."
Italy,Albino Rocca,Nebbiolo,91,40,"This offers the classic Nebbiolo fragrance of blue flower, red rose, woodland berry, tilled earth and whiffs of cake spices. The palate delivers ripe black cherry, crushed raspberry and white pepper framed in big, chewy tannins."
France,Chteau du Vallier,Bordeaux-style Red Blend,91,50,"While the wine is all tannin and structure at this stage, the weight and rich fruit promise plenty of good aging potential. Wine producers for 10 generations, the Dulon family picks specific plots. This 60% Merlot, 35% Cabernet Sauvignon and 5% Cabernet France blend has juicy black fruits that will push forward to give a full wine with a fine presence. Drink from 2017."
US,Arbor Crest,Cabernet Sauvignon,91,20,"There's been no price increase for this outstanding value, but the quality keeps going up and up. It's packed with juicy red berry and cassis fruitsupple, tangy, deep and lingering. The finish carries a suggestion of chalk, more in the sense of minerality than any artificial dryness."
US,Den Hoed,Red Blend,91,80,"A blend of five different varieties with Cabernet Sauvignon and Syrah making up 70% of the mix, it brings intriguing notes of cranberry, raspberry jam and fruit leather. The palate is full bodied with rich dried cherry flavors and firm tannins that need time in the cellar to soften."
France,Domaine Nigri,Gros and Petit Manseng,90,,"Although the wine is dry, it has a wonderfully aromatic, honeyed character. That follows through to the rich, full palate, giving a wine that tastes of dried apricots and quince. Full-bodied, it should be drunk in a year."
France,Domaine Vincent Girardin,Chardonnay,90,46,"A warm wine that shows rich flavors, ripe acidity and plenty of yellow fruits. It is rounded, smooth and likely to develop quickly. The acidity at the end is the crisp contrast to this full, forward wine. Drink from 2015."
US,Elk Cove,Pinot Blanc,90,19,"Melon and apple fruit flavors are lightly buttery, fresh and spicy. The underlying minerality adds textural interest to this light, elegant and stylish offering."
Italy,Erste Neue,Sauvignon,90,18,"Heady varietal aromas recall crushed tomato vine, cantaloupe and gooseberries. The vibrant palate delivers juicy pineapple, mango and green melon along with a spicy ginger note, all brightened with refreshing acidity that ends clean and crisp. Oliver McCrum, T. Edward Wines."
Italy,Fuligni,Sangiovese,90,75,"It opens with aromas of sun-ripened berries, spearmint and Mediterranean scrub. The palate offers dark cherry and raspberry accented with notes of white pepper and a hint of cinnamon-spice alongside round tannins. It's ripe, soft and ready to enjoy soon."
Italy,Gini,Garganega,90,18,"It opens with a floral fragrance of peach blossom and white spring flowers. The juicy, vibrant palate delivers ripe golden apple, mineral and almond notes alongside crisp acidity."
Italy,Ca' Lojera,Turbiana,90,20,"This full-bodied wine begins with delicate aromas of toasted bread crust, mature pear and Golden Delicious apple. The palate delivers ripe yellow peach, papaya, lemon zest, white almond and mineral alongside brisk acidity. Drink now for crispness or hold another year or two for more complexity."
US,Calera,Pinot Noir,90,48,"Difficult to appreciate now, this Pinot is bone dry, brittle in tannins and acidic. It has quietly complex rosehip tea, sour cherry candy and cola flavors, with a tasteful appliqu of oak. Hold until 2019 and see what it's doing."
Italy,Cantina Produttori San Michele Appiano,Pinot Grigio,90,20,"Structured and sophisticated, it offers creamy green apple, pear, citrus and white peach sensations. The juicy fruit palate is restrained by subtle notes of white pepper and mineral alongside fresh acidity that leaves a focused, lingering finish."
Portugal,Casal da Coelheira,Portuguese White,90,13,"This rich, wood-aged wine abounds with spice and ripe pear, peach and mango fruits. The dense texture comes from aging on the lees for four months, adding to the richness and spicy character. Drink this wine now, but it will be better in 2015."
France,Chteau de Portets,Bordeaux-style Red Blend,90,60,"Reflecting the structure and fruit of the 2010 vintage, the wine has dry tannins that are balanced by juicy black fruits and fine acidity. Drink from 2017."
France,Chteau Haut Selve,Bordeaux-style Red Blend,90,23,"A perfumed, wood-aged wine, this is rich, full of fruit and structure, and obviously worth aging. Almost equal parts Merlot and Cabernet Sauvignon have produced an aromatic wine packed with black currant fruit and dark tannins. Drink from 2017."
US,Anam Cara,Pinot Noir,90,32,"This is so light, it tastes like raspberry foam, with a dash of cola and a dusting of cocoa. This is thoroughly delicious and delicate, but sustaining. A lovely, elegant effort that captures the essence of this light vintage without sacrificing detail, length or flavor."
Portugal,Quinta de Santiago,Alvarinho,90,19,"An elegant Alvarinho from the north of the Vinho Verde region. It has some wood aging, rounding out the acidity of the fruit and introducing a spiced orange and lime character, full-bodied and ripe. It could age until 2015, but is ready to drink."
Germany,Castell,Rieslaner,90,35,"Woody, smoky notes belie the intensely fruity palate of this medium-sweet Rieslaner. A cross of Riesling and Sylvaner, it carries out the traits of its parents faithfullyaromatic and peachy, yet intensely herbaceous and grassy too. It finishes long, with a streak of sunny, lemon acidity."
Germany,Dr. Heidemanns-Bergweiler,Riesling,90,33,"Dusty mineral and saffron notes add intensity and spice to superripe, sunny peach and yellow cherry aromas on this semisweet Riesling. It's lavishly fruity on the palate, but layered, with earthy complexity. It finishes long, with a delicately honeyed sweetness that lingers."
Germany,August Kesseler,Riesling,90,18,"Deeply concentrated, with honeyed yellow-peach and tangerine flavors, this is a gorgeously composed wine, with just a hint of sweetness for balance. Notes of cherry blossom and crushed minerals add complexity and depth. It finishes long, with a delicate, lacy sweetness."
Germany,Bisch_fliche Weing_ter Trier,Riesling,90,23,"Zesty evergreen and herb notes lend freshness to notes of Meyer lemon and nectarine in this delicate Riesling. The palate builds in floral, fruity intensity, with bright peach and blossom notes. Delicately sweet yet brisk in lemony acidity, with a long finish."
US,Cowhorn,Marsanne-Roussanne,90,28,"This barrel-fermented blendsplit equally between the two varietiesdisplays notes of marzipan, melon, tropical fruit and biscuit. It's medium-plus bodied, with a lingering finish."
Germany,Dr. Hermann,Riesling,90,32,"Whiffs of earth and musk add a dark complexity to sweet peach and blossom aromas on this superconcentrated sp_tlese. On the palate, unctuous marmalade is laced with saffron and honey, finishing long and with a streak of tangerine acidity and a murmur of astringency."
Italy,Erste Neue,Pinot Bianco,90,18,"This medium-bodied and elegant Pinot Bianco boasts fragrances of white spring flowers, green apple and flint that carry over to the savory palate. The juicy fruit is supported by fresh acidity that leaves a clean crisp finish, making this extremely food friendly. Oliver McCrum, T. Edward Wines."
Portugal,Fiuza,Cabernet Sauvignon,90,20,"This is a tannic while richly fruity wine, showing ripe warm-climate Cabernet Sauvignon flavors. Blackberries and dusty tannins are to the fore, giving a firm structure, fine juiciness and a dense texture. The wine could age, so drink from 2016."
US,Flora Springs,Chardonnay,90,35,"Made in the rich, buttery style, this decadent Chardonnay oozes honey, butterscotch, tropical fruit, vanilla and toast flavors. It also has a much-needed minerality that adds depth and firmness. The grapes come from Carneros, Oakville and St. Helena. Drink through 2016."
Portugal,Herdade do Rocim,Portuguese White,90,,"This is already a delicious wine with its hints of yellow fruits, soft minerality and creamy texture. There is a touch of toast, warm fruitiness and fresh acidity. It's ready to drink now, but will age until 2020."
Germany,Peter Nicolay,Riesling,90,15,"Preserved quince and honeyed apple flavors are accented by streaks of mineral and lime zest on this elegant off-dry Riesling. Tart green apple and fresh herb notes lift the midpalate. It finishes long, but crisp and refreshing."
US,Margerum,Syrah,90,36,"A big wine, tannic and extracted in blackberry, blueberry and red currant flavors, with notes of bacon, mocha, black pepper and sandalwood. It shows plenty of class, but is still too young. Give until 2017 in the cellar."
